logo,name,desc,basket,price,id,category,subcateg,special
img/food.jpg,Pink Grapefruit ,flavoured sparkling ,img/basket_add.png,5.5,6,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Santa Vittoria - Sparkling <br>(250 ml),natural spring water from Iceland - still water,img/basket_add.png,4.5,7,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Santa Vittoria - Sparkling <br>(750 ml),natural spring water from Iceland - still water,img/basket_add.png,9.9,8,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Coke,,img/basket_add.png,3.8,9,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Sprite,,img/basket_add.png,3.8,10,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Coke Light,,img/basket_add.png,3.8,11,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Bundaberg Rootbeer,,img/basket_add.png,4.5,12,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Blood Orange Soda   ,,img/basket_add.png,4,14,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Limonata,,img/basket_add.png,4,15,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Mandarin Soda,,img/basket_add.png,4,16,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Homemade Iced Lemon Tea,,img/basket_add.png,4.8,17,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Icelandic Glacial (330 ml),,img/basket_add.png,5,18,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Icelandic Glacial (1000 ml),,img/basket_add.png,12,19,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Coconut Drink,,img/basket_add.png,6,216,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Open Drink,,img/basket_add.png,1,218,Thirst Quenchers,Thirst Quenchers,1
img/food.jpg,Green Apple Juice,,img/basket_add.png,6.3,21,Juices,Fresh Juices,1
img/food.jpg,Orange Juice,,img/basket_add.png,6.3,22,Juices,Fresh Juices,1
img/food.jpg,Calamanci with Mint Leaves,,img/basket_add.png,6.3,23,Juices,Fresh Juices,1
img/food.jpg,Special Juice,,img/basket_add.png,7.3,24,Juices,Fresh Juices,1
img/food.jpg,Kids Green Apple Juice,,img/basket_add.png,4,236,Juices,Fresh Juices,1
img/food.jpg,Kids Orange Juice,,img/basket_add.png,4,237,Juices,Fresh Juices,1
