logo,name,desc,basket,price,id,category,subcateg,special
img/food.jpg,Pink Grapefruit ,flavoured sparkling ,img/basket_add.png,5.5,104,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Santa Vittoria - Sparkling <br>(250 ml),,img/basket_add.png,4.5,105,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Santa Vittoria - Sparkling <br>(750 ml),,img/basket_add.png,9.9,106,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Coke,,img/basket_add.png,3.8,107,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Sprite,,img/basket_add.png,3.8,108,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Coke Light,,img/basket_add.png,3.8,109,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Bundaberg Rootbeer,,img/basket_add.png,4.5,110,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Blood Orange Soda   ,,img/basket_add.png,4,112,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Limonata,,img/basket_add.png,4,113,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Mandarin Soda,,img/basket_add.png,4,114,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Homemade Iced Lemon Tea,,img/basket_add.png,4.8,115,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Icelandic Glacial (330 ml),,img/basket_add.png,5,116,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Icelandic Glacial (1000 ml),,img/basket_add.png,12,117,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Coconut Drink,,img/basket_add.png,6,217,Thirst Quenchers,Thirst Quenchers,0
img/food.jpg,Open Drink,,img/basket_add.png,1,111,Thirst Quenchers,Thirst Quenchers,1
img/food.jpg,Apple Juice,,img/basket_add.png,6.3,119,Juices,Fresh Juices,1
img/food.jpg,Orange Juice,,img/basket_add.png,6.3,120,Juices,Fresh Juices,1
img/food.jpg,Calamanci with mint leaves,,img/basket_add.png,6.3,121,Juices,Fresh Juices,1
img/food.jpg,Special Juice,,img/basket_add.png,7.3,122,Juices,Fresh Juices,1
img/food.jpg,Kids  Apple Juice,,img/basket_add.png,4,240,Juices,Fresh Juices,1
img/food.jpg,Kids Orange Juice,,img/basket_add.png,4,241,Juices,Fresh Juices,1
img/food.jpg,Kids Calamanci with Mint Leaves,,img/basket_add.png,4,242,Juices,Fresh Juices,1
img/food.jpg,Kids Special Juice,,img/basket_add.png,4,243,Juices,Fresh Juices,1
img/food.jpg,Fresh Brew,,img/basket_add.png,4,123,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Espresso,,img/basket_add.png,4,124,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Macchiato,,img/basket_add.png,4,125,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Cappuccino,,img/basket_add.png,4.8,126,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Latte,,img/basket_add.png,4.8,127,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Flat White,,img/basket_add.png,4.5,212,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Long Black,,img/basket_add.png,4,213,Tea Coffee,Vittoria Coffee,1
img/food.jpg,Mocha,,img/basket_add.png,4.8,129,Tea Coffee,Vittoria Coffee,1
img/food.jpg,British Breakfast,,img/basket_add.png,4.5,130,Tea Coffee,GryphonTea,1
img/food.jpg,Earl Grey,,img/basket_add.png,4.5,131,Tea Coffee,GryphonTea,1
img/food.jpg,Chamomile Dream,,img/basket_add.png,4.8,132,Tea Coffee,GryphonTea,1
img/food.jpg,Lemon Ginger Mint,,img/basket_add.png,4.8,133,Tea Coffee,GryphonTea,1
img/food.jpg,Pearl of the Orient,,img/basket_add.png,4.5,134,Tea Coffee,GryphonTea,1
img/food.jpg,Hot Chocolate,,img/basket_add.png,4.5,235,Tea Coffee,GryphonTea,0
img/food.jpg,Green Tea,,img/basket_add.png,4.5,252,Tea Coffee,GryphonTea,1
img/food.jpg,Chocolate Cointreau,,img/basket_add.png,12,135,Shakes,Shakes/Cocktails,0
img/food.jpg,Fresh Strawberry,,img/basket_add.png,9.8,136,Shakes,Shakes/Cocktails,0
img/food.jpg,Coconut with Gula Melaka,,img/basket_add.png,9.5,137,Shakes,Shakes/Cocktails,0
img/food.jpg,Tiramisu with Marsala Wine,,img/basket_add.png,10.9,138,Shakes,Shakes/Cocktails,0
img/food.jpg,Rootbeer Float,,img/basket_add.png,8.9,139,Shakes,Shakes/Cocktails,0
img/food.jpg,Chocolate Shake,,img/basket_add.png,7.5,140,Shakes,Shakes/Cocktails,0
img/food.jpg,Vanilla Shake,,img/basket_add.png,7.5,141,Shakes,Shakes/Cocktails,0
img/food.jpg,Kids Strawberry Shake,,img/basket_add.png,5.5,142,Shakes,Shakes/Cocktails,0
img/food.jpg,Kids Vanilla Shake,,img/basket_add.png,5.5,143,Shakes,Shakes/Cocktails,0
img/food.jpg,Kids Chocolate Shake,,img/basket_add.png,5.5,144,Shakes,Shakes/Cocktails,0
img/food.jpg,relish Mojito,,img/basket_add.png,12.5,100,Shakes,Shakes/Cocktails,0
img/food.jpg,Dirty &quot;Spicy&quot; Bloody Mary,,img/basket_add.png,12.5,101,Shakes,Shakes/Cocktails,0
img/food.jpg,White Sangria,,img/basket_add.png,12.5,102,Shakes,Shakes/Cocktails,0
img/food.jpg,Red Sangria,,img/basket_add.png,12.5,103,Shakes,Shakes/Cocktails,0
img/food.jpg,Mango Mojito,,img/basket_add.png,13,205,Shakes,Shakes/Cocktails,0
img/food.jpg,Gourmet Dark Chocolate Soft Serve ,,img/basket_add.png,3.4,173,Shakes,Shakes/Cocktails,1
img/food.jpg,Coconut Milk Shake,,img/basket_add.png,9.5,247,Shakes,Shakes/Cocktails,0
img/food.jpg,Kids Coconut Milk Shake,,img/basket_add.png,5,248,Shakes,Shakes/Cocktails,0
img/food.jpg,Seafood Yellow Curry with Red Cargo Rice ,"prawns, fish, scallops, squid, lychee, bell pepper, raisins",img/basket_add.png,24.8,145,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Grilled Teriyaki Chicken Breast &Mesclun,"light, simple, healthy but delish",img/basket_add.png,22.8,146,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Grilled Grass-fed Rib-eye Steak,"roasted potatoes, sea salt, mix herbs,saut&eacute;ed creamy garlic with baby spinach",img/basket_add.png,32.8,147,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Only for Now,,img/basket_add.png,19,148,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Hae Bee Hiam Spaghettini,local spicy dried shrimp & scallop - back by popular demand,img/basket_add.png,18.8,149,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Spicy Corned Beef Spaghettini,wild rocket&apos;s favourite brunch pasta,img/basket_add.png,17.9,150,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Aubergine Linguine,"roasted eggplant, tomato sauce, pine nut",img/basket_add.png,16.5,151,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Thai Basil Pesto Bee Tai Bak,"local rice pasta, tiger prawns, haricot bean, pine nut",img/basket_add.png,17.5,152,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Adult Bolognese,,img/basket_add.png,16,215,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Open Food,,img/basket_add.png,1,230,Mains,"Mains, Pastas & Sharing",1
img/food.jpg,Bacon & Cheese Beef Burger,"crispy streaky bacon, tomato relish, cheese",img/basket_add.png,19.9,153,Burgers,Burgers,1
img/food.jpg,Wild Rocket Beef Burger,"arugula, sarawak pepper cream, sun-dried tomato relish",img/basket_add.png,18.5,154,Burgers,Burgers,1
img/food.jpg,Blue Cheese & William Pear Beef Burger,"walnut-peanut butter, bleu auvergne, arugula, poached pear ",img/basket_add.png,21.9,155,Burgers,Burgers,1
img/food.jpg,Ram-Lee Beef Burger,"wrapped in an omelete, cheese, red onion, sweet chili sauce & mayonnaise",img/basket_add.png,21.9,156,Burgers,Burgers,1
img/food.jpg,Seafood Burger ,"crab, fish, prawns, octopus, lemon mayonnaise",img/basket_add.png,20.8,157,Burgers,Burgers,1
img/food.jpg,BBQ Char Siew Pork Open Burger ,"charsiew soft-bone pork, secret char siew sauce, homemade foccacia",img/basket_add.png,20.9,158,Burgers,Burgers,1
img/food.jpg,Grilled Portobello Tofu Burger,"honey mustard sauce, caramelized onions, spinach, cheese",img/basket_add.png,17.8,159,Burgers,Burgers,1
img/food.jpg,Chicken Nasi Lemak with Anchovy Sambal Burger,"coconut rice,turmeric chicken thigh, japanese cucumber ribbons, peanut, egg",img/basket_add.png,18.9,160,Burgers,Burgers,1
img/food.jpg,Home-Styled Mushroom Cream Soup,"swiss button & shiitake, drizzled with truffle oil",img/basket_add.png,9.8,161,Soups and salads,"Soup, Salads & Sharing",1
img/food.jpg,Home-made Fish Otah Bruschetta,traditional lemongrass fish paste baked on farmer bread,img/basket_add.png,10.5,162,Soups and salads,"Soup, Salads & Sharing",1
img/food.jpg,Parmesan Wings (half a dozen),gorgonzola dip & our chicken rice-style chili dip,img/basket_add.png,10.9,163,Soups and salads,"Soup, Salads & Sharing",1
img/food.jpg,Hand-Cut Onion Rings with Curry Mayo,made daily with a milk batter,img/basket_add.png,9.8,164,Soups and salads,"Soup, Salads & Sharing",1
img/food.jpg,Spam Fries with Kaffir Lime Mayo ,wild oats all-time favorite snack,img/basket_add.png,8.5,165,Soups and salads,"Soup, Salads & Sharing",1
img/food.jpg,Teriyaki Tuna Salad,"tuna flakes, japanese cucumber, mesclun",img/basket_add.png,14.8,166,Soups and salads,"Soup, Salads & Sharing",1
img/food.jpg,Turnip Cucumber Mango with Tiger Prawn Salad,"locally inspired refreshing salad - red onions, sesame oil &thai lime dressing",img/basket_add.png,13.8,167,Soups and salads,"Soup, Salads & Sharing",1
