spid,id,specialinstruction
1,21,noIce
2,22,noIce
3,23,noIceSugar
4,24,noIce
5,30,mediumWell
6,31,note
7,32,noBean
8,33,noBean
9,34,note
10,35,note
11,36,friesSalad
12,37,note
13,38,note
14,39,note
15,40,note
16,41,notSpicy
17,42,note
18,43,note
19,44,iburger2
20,45,iburger
21,46,iburger
22,47,iburger
23,48,iburger1
24,49,iburger
25,50,outfirst
26,51,outfirst
27,52,outfirst
28,53,outfirst
29,54,Focaccia
30,55,dress
31,56,dress
32,57,dress
33,58,hold
34,59,hold
35,60,hold
36,61,hold
37,62,hold
38,63,hold
39,64,hold
40,88,decaf
41,89,expShot
42,90,decaf
43,91,skim
44,92,skim
45,93,addIce
46,94,skim
47,95,addIce
48,96,addIce
49,97,addIce
50,98,addIce
51,99,addIce
52,119,noIce
53,120,noIce
54,121,noIceSugar
55,122,noIce
56,123,decaf
57,124,expShot
58,125,decaf
59,126,skim
60,127,skim
61,128,addIce
62,129,skim
63,130,addIce
64,131,addIce
65,132,addIce
66,133,addIce
67,134,addIce
68,145,note
69,146,note
70,147,rare
71,148,lessSpicy
72,149,note
73,150,note
74,151,note
75,152,lessSpicy
76,153,iburger
77,154,iburger
78,155,iburger
79,156,iburger
80,157,iburger1
81,158,iburger1
82,159,iburger1
83,160,iburger1
84,161,Focaccia
85,162,outfirst
86,163,outfirst
87,164,outfirst
88,165,outfirst
89,166,dressfoc
90,167,dress
91,168,dress
92,169,dress
93,170,outfirst
94,171,hold
95,172,hold
96,173,hold
97,174,hold
98,175,mediumWell
99,176,note
100,177,noBean
101,178,noBean
102,208,skim
103,209,decaf
104,210,outfirst
105,211,note
106,212,skim
107,213,decaf
108,214,outfirst
109,215,note
110,224,outfirst
111,225,outfirst
112,226,iburger1
113,227,note
114,230,note
115,231,hold
116,232,hold
117,233,hold
118,218,comment
119,111,comment
120,236,noIce
121,237,noIce
122,238,noIceSugar
123,239,noIce
124,240,noIce
125,241,noIce
126,242,noIceSugar
127,243,noIce
128,249,outfirst
129,250,outfirst
130,244,outfirst
131,251,addIce
132,252,addIce
133,253,outfirst
134,254,outfirst
135,255,hold
136,256,hold
137,257,outfirst
138,258,sauce
139,259,hold
140,260,outfirst
141,261,sauce
142,262,hold
